node,degree,clustering,betweeness,centrality,triangles,eccentricity,closeness,page_rank,eigen_centrality,square_clustering,clique,degree_average_voisin,katz
Davodka,3,0.3333333333333333,0.0009179321191183991,0.015384615384615385,1,6,0.3379549393414211,0.0025747913341775267,0.027698513441863543,0.010309278350515464,2,23.0,
Vegedream,8,0.32142857142857145,0.00208990561986182,0.041025641025641026,9,6,0.34210526315789475,0.005038226679870628,0.05939829658201471,0.02723895996698308,4,13.375,
Nekfeu,17,0.17647058823529413,0.02711445633709812,0.08717948717948718,24,6,0.3884462151394422,0.010504483962998537,0.11247444538449702,0.015405946695424434,15,12.764705882352942,
A2H,6,0.0,0.013406132606035544,0.03076923076923077,0,7,0.312,0.005314754517276218,0.012399312489488848,0.008928571428571428,6,7.333333333333333,
Dadju,22,0.22943722943722944,0.024001210974324637,0.11282051282051282,53,6,0.38461538461538464,0.012677653508518823,0.16483460849865653,0.02410631503039044,25,12.818181818181818,
Nessbeal,7,0.42857142857142855,0.0009947968656014415,0.035897435897435895,9,6,0.3427065026362039,0.004413663630134349,0.0693179694046783,0.025485436893203883,7,18.285714285714285,
Benash,3,0.3333333333333333,0.00046409479040705054,0.015384615384615385,1,7,0.2981651376146789,0.0027014772375361816,0.017056066988055403,0.029411764705882353,2,9.666666666666666,
Le Rat Luciano,12,0.16666666666666666,0.007121697570253585,0.06153846153846154,11,6,0.34513274336283184,0.007593940096932874,0.0846266738033828,0.03674540682414698,11,11.083333333333334,
Sadek,21,0.19047619047619047,0.031396125235137885,0.1076923076923077,40,6,0.4202586206896552,0.012169594342456522,0.17790808746745432,0.015287634002717801,23,15.19047619047619,
Makala,4,0.16666666666666666,0.0007955416126376126,0.020512820512820513,1,7,0.2785714285714286,0.0034565160890189656,0.0063722395974413195,0.09195402298850575,3,7.0,
Black M,16,0.175,0.027479170308711713,0.08205128205128205,21,6,0.3987730061349693,0.01005894299176498,0.13513335739624718,0.017797155314130512,16,15.1875,
Kool Shen,8,0.2857142857142857,0.013686911304562822,0.041025641025641026,8,6,0.34946236559139787,0.005485212139448569,0.058652024462005965,0.024950495049504952,7,14.25,
